-0.16986	0.00069731
-0.18011	0.00069592
-0.13171	0.0007126
-0.11029	0.00074701
-0.11481	0.00077004
3.2287	0.0043565
3.2768	0.0042683
3.3249	0.0043583
3.4557	0.0044885
3.5022	0.0045735
7.0339	0.0084484
10.527	0.012471
13.676	0.016902
9.975	0.014379
9.8911	0.01425
6.5497	0.010462
3.7358	0.0071095
-1.1537	0.0012863
-2.8896	-0.00084895
-4.0275	-0.0022813
-4.248	-0.0024349
-6.7336	-0.0054217
-6.8708	-0.0056073
-6.7788	-0.0055937
-10.049	-0.0097348
-10.116	-0.0097852
-13.715	-0.014688
-10.304	-0.012535
-6.7613	-0.0088119
-3.5396	-0.0049043
-0.19891	-0.00074982
4.4673	0.0053409
7.0185	0.0088603
10.57	0.013482
13.813	0.017507
10.164	0.014562
6.6606	0.010771
3.0407	0.0062001
-0.49408	0.0014873
-3.6036	-0.0026188
-4.1957	-0.0032132
-7.1887	-0.0071724
-10.777	-0.011418
-13.613	-0.014812
-10.153	-0.012454
-6.9488	-0.0089886
-3.1785	-0.0044877
-0.003479	-0.0001485
3.987	0.0051017
8.0182	0.010369
12.061	0.015402
13.336	0.016811
12.431	0.016769
9.9106	0.014421
6.5579	0.010573
3.3793	0.0065772
0.067017	0.0021829
-3.9324	-0.0032934
-8.1498	-0.0089683
-10.49	-0.011453
-13.77	-0.015191
-9.3035	-0.011759
-6.2662	-0.0083942
-3.3605	-0.004769
-0.096252	-0.000072247
-0.0065308	0.000092037
0.04657	0.00011643
7.235	0.009406
7.4357	0.0096647
13.61	0.017244
9.3535	0.016134
9.168	0.015864
6.912	0.012809
1.1058	0.0044882
-1.3849	0.00056856
-6.6315	-0.0060369
-6.7997	-0.0063529
-13.88	-0.01493
-20.732	-0.024879
-27.379	-0.037242
-19.786	-0.031362
-13.545	-0.024082
-5.0731	-0.012311
0.32654	-0.003877
11.028	0.012744
14.459	0.017841
20.716	0.026798
27.168	0.040343
27.448	0.04131
19.291	0.033449
13.396	0.025679
5.947	0.014408
-1.7665	0.0011355
-3.1796	-0.0015228
-4.147	-0.0031275
-7.1702	-0.0085922
-13.951	-0.019059
-20.845	-0.028714
-27.297	-0.038065
-18.265	-0.0299
-12.553	-0.022724
-6.8351	-0.014235
0.59174	-0.0013631
3.1155	0.0030308
4.8741	0.0061991
7.4242	0.010881
14.623	0.022711
20.497	0.031659
27.531	0.042375
15.614	0.029344
13.305	0.025864
5.5608	0.013495
-0.88776	0.0018024
-7.801	-0.010655
-14.267	-0.020716
-20.885	-0.030195
-26.41	-0.038475
-16.846	-0.028804
-12.125	-0.022473
-7.8621	-0.016124
-3.4722	-0.0086509
0.09137	-0.0017277
0.1955	-0.0012292
2.2726	0.0021114
14.167	0.022936
28.123	0.043786
41.492	0.073454
54.989	0.11215
41.136	0.095491
27.405	0.075753
13.557	0.050313
-0.14758	0.019634
-14.138	-0.011354
-28.152	-0.035984
-42.112	-0.063316
-52.486	-0.091279
-41.524	-0.079403
-26.99	-0.059219
-13.117	-0.036581
0.42395	-0.0050798
14.568	0.033078
27.297	0.062001
41.228	0.090106
53.52	0.11343
54.525	0.11745
40.652	0.098691
25.396	0.071777
12.709	0.045817
-0.30511	0.011656
-5.782	-0.0037326
-13.816	-0.023614
-27.676	-0.051197
-41.528	-0.074231
-54.846	-0.096884
-41.001	-0.08142
-27.69	-0.062072
-13.623	-0.03798
3.3975	0.0056975
3.7779	0.0069744
4.078	0.0079712
5.9528	0.013327
6.6847	0.015473
7.3198	0.017205
7.8903	0.019093
8.648	0.02098
14.208	0.035537
27.69	0.066286
41.123	0.093196
53.22	0.11802
40.816	0.10029
21.631	0.06508
12.274	0.044735
-0.40167	0.0095714
-13.653	-0.026361
-27.833	-0.054853
-41.009	-0.076512
-54.535	-0.099337
-50.465	-0.095153
-39.114	-0.080421
-27.751	-0.063418
-27.551	-0.063215
-13.223	-0.037936
0.011963	-0.00404
-1.0497	-0.0038189
1.6152	0.0015509
1.3947	0.001352
0.10571	-0.00063033
0.79559	0.0003512
-0.017334	-0.00082102
0.53528	0.00011775
-0.23627	-0.0010388
0.75482	0.00027631
0.38629	-0.000032802
-0.3327	-0.00078063
0.32446	-0.00010238
-0.41595	-0.0010404
-0.18042	-0.00097591
-0.24792	-0.00096013
-0.67963	-0.0015332
-0.23932	-0.0013912
0.62909	0.000062542
-0.30774	-0.0011732
0.59253	5.14E-06
0.19623	-0.00041858
0.69916	0.00019152
0.62006	0.00025602
0.58203	0.00025199
0.68158	0.00022487
0.57007	0.00022887
0.65686	0.00028793
0.64734	0.00018591
9.3749	0.024374
18.847	0.047725
31.857	0.076469
39.409	0.091641
58.17	0.12537
63.459	0.13844
73.966	0.16806
79.486	0.18307
59.002	0.15551
47.173	0.13271
35.397	0.11019
24.963	0.088287
15.861	0.066768
4.157	0.034133
0.085022	0.020594
-7.4233	-0.0035322
-19.124	-0.033938
-28.272	-0.053441
-41.311	-0.077604
-53.437	-0.098488
-63.169	-0.11655
-73.657	-0.14139
-80.433	-0.15949
-88.451	-0.18155
-62.856	-0.14614
-53.32	-0.13075
