-6.016235413495689, -197.82241473975387
-5.994419076610859, -189.6420355427673
-5.994419076610859, -192.259995968947
-5.994419076610859, -194.8779563951266
-5.994419076610859, -200.1138772474858
-5.97260273972603, -202.73258480849017
-5.97260273972603, -207.96850566084936
-5.950786402841199, -183.09862874696796
-5.950786402841199, -185.71658917314755
-5.950786402841199, -187.68005949278222
-5.928970065956369, -205.024794451047
-5.950786402841199, -210.58721322185374
-5.950786402841199, -213.20517364803334
-5.928970065956369, -215.82388120903784
-5.907153729071538, -177.86420216425842
-5.907153729071538, -180.482162590438
-5.907153729071538, -196.18992514751562
-5.907153729071538, -198.80788557369522
-5.907153729071538, -200.77135589333
-5.863521055301879, -171.32079536845907
-5.863521055301879, -173.93875579463867
-5.863521055301879, -175.90222611427333
-5.863521055301879, -189.64651835171617
-5.863521055301879, -192.26447877789587
-5.863521055301879, -194.22794909753054
-5.8417047184170485, -206.00951815016367
-5.8417047184170485, -217.7903400679719
-5.819888381532218, -166.08636878574947
-5.819888381532218, -168.70432921192906
-5.819888381532218, -183.10311155591688
-5.819888381532218, -185.72107198209653
-5.819888381532218, -187.6845423017312
-5.776255707762559, -160.85194220303993
-5.776255707762559, -163.46990262921952
-5.776255707762559, -176.55970476011754
-5.776255707762559, -179.17766518629713
-5.776255707762559, -181.14113550593186
-5.754439370877728, -206.01250668946295
-5.754439370877728, -216.48434839418132
-5.710806697108069, -153.6547924355205
-5.732623033992899, -156.92649583342018
-5.732623033992899, -158.88996615305484
-5.732623033992899, -171.325278177408
-5.732623033992899, -173.9432386035876
-5.688990360223238, -150.38308903762078
-5.688990360223238, -164.7818713816086
-5.688990360223238, -167.3998318077882
-5.688990360223238, -169.3633021274229
-5.667174023338408, -205.3610051222173
-5.667174023338408, -216.16009188020814
-5.645357686453579, -145.14866245491123
-5.645357686453579, -147.76662288109083
-5.645357686453579, -159.54744479889905
-5.645357686453579, -162.16540522507864
-5.601725012683918, -139.9142358722017
-5.601725012683918, -142.53219629838134
-5.601725012683918, -154.3130182161895
-5.601725012683918, -156.93097864236915
-5.579908675799089, -204.3822585016992
-5.579908675799089, -215.18134525969015
-5.558092338914259, -135.98878950258194
-5.558092338914259, -137.95225982221666
